Batsman,Opponent,Total Runs,Venue
R Tewatia,Delhi Capitals,14,Dubai International Cricket Stadium
RV Uthappa,Delhi Capitals,32,Dubai International Cricket Stadium
S Dhawan,Rajasthan Royals,57,Dubai International Cricket Stadium
S Gopal,Delhi Capitals,6,Dubai International Cricket Stadium
SPD Smith,Delhi Capitals,1,Dubai International Cricket Stadium
SS Iyer,Rajasthan Royals,53,Dubai International Cricket Stadium
SV Samson,Delhi Capitals,25,Dubai International Cricket Stadium
AB de Villiers,Chennai Super Kings,39,Dubai International Cricket Stadium
AJ Finch,Chennai Super Kings,15,Dubai International Cricket Stadium
AT Rayudu,Royal Challengers Bangalore,39,Dubai International Cricket Stadium
CH Morris,Chennai Super Kings,2,Dubai International Cricket Stadium
D Padikkal,Chennai Super Kings,22,Dubai International Cricket Stadium
F du Plessis,Royal Challengers Bangalore,25,Dubai International Cricket Stadium
Gurkeerat Singh,Chennai Super Kings,2,Dubai International Cricket Stadium
MM Ali,Chennai Super Kings,1,Dubai International Cricket Stadium
MS Dhoni,Royal Challengers Bangalore,19,Dubai International Cricket Stadium
RD Gaikwad,Royal Challengers Bangalore,65,Dubai International Cricket Stadium
V Kohli,Chennai Super Kings,50,Dubai International Cricket Stadium
Washington Sundar,Chennai Super Kings,5,Dubai International Cricket Stadium
Abhishek Sharma,Kolkata Knight Riders,2,Sheikh Zayed Stadium
DA Warner,Kolkata Knight Riders,36,Sheikh Zayed Stadium
EJG Morgan,Sunrisers Hyderabad,42,Sheikh Zayed Stadium
JM Bairstow,Kolkata Knight Riders,5,Sheikh Zayed Stadium
KD Karthik,Sunrisers Hyderabad,0,Sheikh Zayed Stadium
MK Pandey,Kolkata Knight Riders,51,Sheikh Zayed Stadium
Mohammad Nabi,Kolkata Knight Riders,11,Sheikh Zayed Stadium
N Rana,Sunrisers Hyderabad,26,Sheikh Zayed Stadium
SP Narine,Sunrisers Hyderabad,0,Sheikh Zayed Stadium
Shubman Gill,Sunrisers Hyderabad,70,Sheikh Zayed Stadium
WP Saha,Kolkata Knight Riders,30,Sheikh Zayed Stadium
CH Gayle,Delhi Capitals,29,Dubai International Cricket Stadium
DJ Hooda,Delhi Capitals,15,Dubai International Cricket Stadium
GJ Maxwell,Delhi Capitals,32,Dubai International Cricket Stadium
JDS Neesham,Delhi Capitals,10,Dubai International Cricket Stadium
KL Rahul,Delhi Capitals,15,Dubai International Cricket Stadium
MA Agarwal,Delhi Capitals,5,Dubai International Cricket Stadium
MP Stoinis,Kings XI Punjab,9,Dubai International Cricket Stadium
N Pooran,Delhi Capitals,53,Dubai International Cricket Stadium
PP Shaw,Kings XI Punjab,7,Dubai International Cricket Stadium
RR Pant,Kings XI Punjab,14,Dubai International Cricket Stadium
S Dhawan,Kings XI Punjab,106,Dubai International Cricket Stadium
SO Hetmyer,Kings XI Punjab,10,Dubai International Cricket Stadium
SS Iyer,Kings XI Punjab,14,Dubai International Cricket Stadium
AB de Villiers,Mumbai Indians,61,Dubai International Cricket Stadium
AJ Finch,Mumbai Indians,52,Dubai International Cricket Stadium
D Padikkal,Mumbai Indians,54,Dubai International Cricket Stadium
HH Pandya,Royal Challengers Bangalore,16,Dubai International Cricket Stadium
Ishan Kishan,Royal Challengers Bangalore,99,Dubai International Cricket Stadium
KA Pollard,Royal Challengers Bangalore,65,Dubai International Cricket Stadium
Q de Kock,Royal Challengers Bangalore,14,Dubai International Cricket Stadium
RG Sharma,Royal Challengers Bangalore,8,Dubai International Cricket Stadium
S Dube,Mumbai Indians,27,Dubai International Cricket Stadium
SA Yadav,Royal Challengers Bangalore,0,Dubai International Cricket Stadium
V Kohli,Mumbai Indians,8,Dubai International Cricket Stadium
AM Rahane,Mumbai Indians,0,Dubai International Cricket Stadium
AR Patel,Mumbai Indians,42,Dubai International Cricket Stadium
DR Sams,Mumbai Indians,0,Dubai International Cricket Stadium
HH Pandya,Delhi Capitals,37,Dubai International Cricket Stadium
Ishan Kishan,Delhi Capitals,55,Dubai International Cricket Stadium
K Rabada,Mumbai Indians,15,Dubai International Cricket Stadium
KA Pollard,Delhi Capitals,0,Dubai International Cricket Stadium
KH Pandya,Delhi Capitals,13,Dubai International Cricket Stadium
MP Stoinis,Mumbai Indians,65,Dubai International Cricket Stadium
PP Shaw,Mumbai Indians,0,Dubai International Cricket Stadium
Q de Kock,Delhi Capitals,40,Dubai International Cricket Stadium
RG Sharma,Delhi Capitals,0,Dubai International Cricket Stadium
RR Pant,Mumbai Indians,3,Dubai International Cricket Stadium
S Dhawan,Mumbai Indians,0,Dubai International Cricket Stadium
SA Yadav,Delhi Capitals,51,Dubai International Cricket Stadium
SS Iyer,Mumbai Indians,12,Dubai International Cricket Stadium
AB de Villiers,Sunrisers Hyderabad,56,Sheikh Zayed Stadium
AJ Finch,Sunrisers Hyderabad,32,Sheikh Zayed Stadium
D Padikkal,Sunrisers Hyderabad,1,Sheikh Zayed Stadium
DA Warner,Royal Challengers Bangalore,17,Sheikh Zayed Stadium
JO Holder,Royal Challengers Bangalore,24,Sheikh Zayed Stadium
KS Williamson,Royal Challengers Bangalore,50,Sheikh Zayed Stadium
MK Pandey,Royal Challengers Bangalore,24,Sheikh Zayed Stadium
MM Ali,Sunrisers Hyderabad,0,Sheikh Zayed Stadium
Mohammed Siraj,Sunrisers Hyderabad,10,Sheikh Zayed Stadium
Navdeep Saini,Sunrisers Hyderabad,9,Sheikh Zayed Stadium
PK Garg,Royal Challengers Bangalore,7,Sheikh Zayed Stadium
S Dube,Sunrisers Hyderabad,8,Sheikh Zayed Stadium
SP Goswami,Royal Challengers Bangalore,0,Sheikh Zayed Stadium
V Kohli,Sunrisers Hyderabad,6,Sheikh Zayed Stadium
Washington Sundar,Sunrisers Hyderabad,5,Sheikh Zayed Stadium
Abdul Samad,Delhi Capitals,33,Sheikh Zayed Stadium
DA Warner,Delhi Capitals,2,Sheikh Zayed Stadium
JO Holder,Delhi Capitals,11,Sheikh Zayed Stadium
KS Williamson,Delhi Capitals,67,Sheikh Zayed Stadium
MK Pandey,Delhi Capitals,21,Sheikh Zayed Stadium
MP Stoinis,Sunrisers Hyderabad,38,Sheikh Zayed Stadium
PK Garg,Delhi Capitals,17,Sheikh Zayed Stadium
RR Pant,Sunrisers Hyderabad,2,Sheikh Zayed Stadium
Rashid Khan,Delhi Capitals,11,Sheikh Zayed Stadium
S Dhawan,Sunrisers Hyderabad,78,Sheikh Zayed Stadium
S Nadeem,Delhi Capitals,2,Sheikh Zayed Stadium
SO Hetmyer,Sunrisers Hyderabad,42,Sheikh Zayed Stadium
SP Goswami,Delhi Capitals,0,Sheikh Zayed Stadium
SS Iyer,Sunrisers Hyderabad,21,Sheikh Zayed Stadium
Sandeep Sharma,Delhi Capitals,2,Sheikh Zayed Stadium
AM Rahane,Mumbai Indians,2,Dubai International Cricket Stadium
AR Patel,Mumbai Indians,9,Dubai International Cricket Stadium
HH Pandya,Delhi Capitals,3,Dubai International Cricket Stadium
Ishan Kishan,Delhi Capitals,33,Dubai International Cricket Stadium
KA Pollard,Delhi Capitals,9,Dubai International Cricket Stadium
KH Pandya,Delhi Capitals,1,Dubai International Cricket Stadium
MP Stoinis,Mumbai Indians,0,Dubai International Cricket Stadium
Q de Kock,Delhi Capitals,20,Dubai International Cricket Stadium
RG Sharma,Delhi Capitals,68,Dubai International Cricket Stadium
RR Pant,Mumbai Indians,56,Dubai International Cricket Stadium
S Dhawan,Mumbai Indians,15,Dubai International Cricket Stadium
SA Yadav,Delhi Capitals,19,Dubai International Cricket Stadium
SO Hetmyer,Mumbai Indians,5,Dubai International Cricket Stadium
SS Iyer,Mumbai Indians,65,Dubai International Cricket Stadium
AB de Villiers,Mumbai Indians,48,"MA Chidambaram Stadium, Chepauk, Chennai"
CA Lynn,Royal Challengers Bangalore,49,"MA Chidambaram Stadium, Chepauk, Chennai"
DT Christian,Mumbai Indians,1,"MA Chidambaram Stadium, Chepauk, Chennai"
GJ Maxwell,Mumbai Indians,39,"MA Chidambaram Stadium, Chepauk, Chennai"
HH Pandya,Royal Challengers Bangalore,13,"MA Chidambaram Stadium, Chepauk, Chennai"
HV Patel,Mumbai Indians,4,"MA Chidambaram Stadium, Chepauk, Chennai"
Ishan Kishan,Royal Challengers Bangalore,28,"MA Chidambaram Stadium, Chepauk, Chennai"
JJ Bumrah,Royal Challengers Bangalore,1,"MA Chidambaram Stadium, Chepauk, Chennai"
KA Jamieson,Mumbai Indians,4,"MA Chidambaram Stadium, Chepauk, Chennai"
KA Pollard,Royal Challengers Bangalore,7,"MA Chidambaram Stadium, Chepauk, Chennai"
KH Pandya,Royal Challengers Bangalore,7,"MA Chidambaram Stadium, Chepauk, Chennai"
M Jansen,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk, Chennai"
Mohammed Siraj,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk, Chennai"
RG Sharma,Royal Challengers Bangalore,19,"MA Chidambaram Stadium, Chepauk, Chennai"
RM Patidar,Mumbai Indians,8,"MA Chidambaram Stadium, Chepauk, Chennai"
SA Yadav,Royal Challengers Bangalore,31,"MA Chidambaram Stadium, Chepauk, Chennai"
Shahbaz Ahmed,Mumbai Indians,1,"MA Chidambaram Stadium, Chepauk, Chennai"
V Kohli,Mumbai Indians,33,"MA Chidambaram Stadium, Chepauk, Chennai"
Washington Sundar,Mumbai Indians,10,"MA Chidambaram Stadium, Chepauk, Chennai"
AT Rayudu,Delhi Capitals,23,"Wankhede Stadium, Mumbai"
F du Plessis,Delhi Capitals,0,"Wankhede Stadium, Mumbai"
MM Ali,Delhi Capitals,36,"Wankhede Stadium, Mumbai"
MP Stoinis,Chennai Super Kings,14,"Wankhede Stadium, Mumbai"
MS Dhoni,Delhi Capitals,0,"Wankhede Stadium, Mumbai"
PP Shaw,Chennai Super Kings,72,"Wankhede Stadium, Mumbai"
RA Jadeja,Delhi Capitals,26,"Wankhede Stadium, Mumbai"
RD Gaikwad,Delhi Capitals,5,"Wankhede Stadium, Mumbai"
RR Pant,Chennai Super Kings,15,"Wankhede Stadium, Mumbai"
S Dhawan,Chennai Super Kings,85,"Wankhede Stadium, Mumbai"
SK Raina,Delhi Capitals,54,"Wankhede Stadium, Mumbai"
SM Curran,Delhi Capitals,34,"Wankhede Stadium, Mumbai"
AD Russell,Sunrisers Hyderabad,5,"MA Chidambaram Stadium, Chepauk, Chennai"
Abdul Samad,Kolkata Knight Riders,19,"MA Chidambaram Stadium, Chepauk, Chennai"
DA Warner,Kolkata Knight Riders,3,"MA Chidambaram Stadium, Chepauk, Chennai"
EJG Morgan,Sunrisers Hyderabad,2,"MA Chidambaram Stadium, Chepauk, Chennai"
JM Bairstow,Kolkata Knight Riders,55,"MA Chidambaram Stadium, Chepauk, Chennai"
KD Karthik,Sunrisers Hyderabad,22,"MA Chidambaram Stadium, Chepauk, Chennai"
MK Pandey,Kolkata Knight Riders,61,"MA Chidambaram Stadium, Chepauk, Chennai"
Mohammad Nabi,Kolkata Knight Riders,14,"MA Chidambaram Stadium, Chepauk, Chennai"
N Rana,Sunrisers Hyderabad,80,"MA Chidambaram Stadium, Chepauk, Chennai"
RA Tripathi,Sunrisers Hyderabad,53,"MA Chidambaram Stadium, Chepauk, Chennai"
Shakib Al Hasan,Sunrisers Hyderabad,3,"MA Chidambaram Stadium, Chepauk, Chennai"
Shubman Gill,Sunrisers Hyderabad,15,"MA Chidambaram Stadium, Chepauk, Chennai"
V Shankar,Kolkata Knight Riders,11,"MA Chidambaram Stadium, Chepauk, Chennai"
WP Saha,Kolkata Knight Riders,7,"MA Chidambaram Stadium, Chepauk, Chennai"
BA Stokes,Punjab Kings,0,"Wankhede Stadium, Mumbai"
CH Gayle,Rajasthan Royals,40,"Wankhede Stadium, Mumbai"
CH Morris,Punjab Kings,2,"Wankhede Stadium, Mumbai"
DJ Hooda,Rajasthan Royals,64,"Wankhede Stadium, Mumbai"
JA Richardson,Rajasthan Royals,0,"Wankhede Stadium, Mumbai"
JC Buttler,Punjab Kings,25,"Wankhede Stadium, Mumbai"
KL Rahul,Rajasthan Royals,91,"Wankhede Stadium, Mumbai"
M Shahrukh Khan,Rajasthan Royals,6,"Wankhede Stadium, Mumbai"
M Vohra,Punjab Kings,12,"Wankhede Stadium, Mumbai"
MA Agarwal,Rajasthan Royals,14,"Wankhede Stadium, Mumbai"
N Pooran,Rajasthan Royals,0,"Wankhede Stadium, Mumbai"
R Parag,Punjab Kings,25,"Wankhede Stadium, Mumbai"
R Tewatia,Punjab Kings,2,"Wankhede Stadium, Mumbai"
S Dube,Punjab Kings,23,"Wankhede Stadium, Mumbai"
SV Samson,Punjab Kings,119,"Wankhede Stadium, Mumbai"
AD Russell,Mumbai Indians,9,"MA Chidambaram Stadium, Chepauk, Chennai"
EJG Morgan,Mumbai Indians,7,"MA Chidambaram Stadium, Chepauk, Chennai"
HH Pandya,Kolkata Knight Riders,15,"MA Chidambaram Stadium, Chepauk, Chennai"
Harbhajan Singh,Mumbai Indians,2,"MA Chidambaram Stadium, Chepauk, Chennai"
Ishan Kishan,Kolkata Knight Riders,1,"MA Chidambaram Stadium, Chepauk, Chennai"
JJ Bumrah,Kolkata Knight Riders,0,"MA Chidambaram Stadium, Chepauk, Chennai"
KA Pollard,Kolkata Knight Riders,5,"MA Chidambaram Stadium, Chepauk, Chennai"
KD Karthik,Mumbai Indians,8,"MA Chidambaram Stadium, Chepauk, Chennai"
KH Pandya,Kolkata Knight Riders,15,"MA Chidambaram Stadium, Chepauk, Chennai"
M Jansen,Kolkata Knight Riders,0,"MA Chidambaram Stadium, Chepauk, Chennai"
N Rana,Mumbai Indians,57,"MA Chidambaram Stadium, Chepauk, Chennai"
PJ Cummins,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk, Chennai"
Q de Kock,Kolkata Knight Riders,2,"MA Chidambaram Stadium, Chepauk, Chennai"
RA Tripathi,Mumbai Indians,5,"MA Chidambaram Stadium, Chepauk, Chennai"
RD Chahar,Kolkata Knight Riders,8,"MA Chidambaram Stadium, Chepauk, Chennai"
RG Sharma,Kolkata Knight Riders,43,"MA Chidambaram Stadium, Chepauk, Chennai"
SA Yadav,Kolkata Knight Riders,56,"MA Chidambaram Stadium, Chepauk, Chennai"
Shakib Al Hasan,Mumbai Indians,9,"MA Chidambaram Stadium, Chepauk, Chennai"
Shubman Gill,Mumbai Indians,33,"MA Chidambaram Stadium, Chepauk, Chennai"
AB de Villiers,Sunrisers Hyderabad,1,"MA Chidambaram Stadium, Chepauk, Chennai"
Abdul Samad,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk, Chennai"
B Kumar,Royal Challengers Bangalore,2,"MA Chidambaram Stadium, Chepauk, Chennai"
D Padikkal,Sunrisers Hyderabad,11,"MA Chidambaram Stadium, Chepauk, Chennai"
DA Warner,Royal Challengers Bangalore,54,"MA Chidambaram Stadium, Chepauk, Chennai"
DT Christian,Sunrisers Hyderabad,1,"MA Chidambaram Stadium, Chepauk, Chennai"
GJ Maxwell,Sunrisers Hyderabad,59,"MA Chidambaram Stadium, Chepauk, Chennai"
JM Bairstow,Royal Challengers Bangalore,12,"MA Chidambaram Stadium, Chepauk, Chennai"
JO Holder,Royal Challengers Bangalore,4,"MA Chidambaram Stadium, Chepauk, Chennai"
KA Jamieson,Sunrisers Hyderabad,12,"MA Chidambaram Stadium, Chepauk, Chennai"
MK Pandey,Royal Challengers Bangalore,38,"MA Chidambaram Stadium, Chepauk, Chennai"
Rashid Khan,Royal Challengers Bangalore,17,"MA Chidambaram Stadium, Chepauk, Chennai"
S Nadeem,Royal Challengers Bangalore,0,"MA Chidambaram Stadium, Chepauk, Chennai"
Shahbaz Ahmed,Sunrisers Hyderabad,14,"MA Chidambaram Stadium, Chepauk, Chennai"
V Kohli,Sunrisers Hyderabad,33,"MA Chidambaram Stadium, Chepauk, Chennai"
V Shankar,Royal Challengers Bangalore,3,"MA Chidambaram Stadium, Chepauk, Chennai"
WP Saha,Royal Challengers Bangalore,1,"MA Chidambaram Stadium, Chepauk, Chennai"
Washington Sundar,Sunrisers Hyderabad,8,"MA Chidambaram Stadium, Chepauk, Chennai"
AM Rahane,Rajasthan Royals,8,"Wankhede Stadium, Mumbai"
CH Morris,Delhi Capitals,36,"Wankhede Stadium, Mumbai"
CR Woakes,Rajasthan Royals,15,"Wankhede Stadium, Mumbai"
DA Miller,Delhi Capitals,62,"Wankhede Stadium, Mumbai"
JC Buttler,Delhi Capitals,2,"Wankhede Stadium, Mumbai"
JD Unadkat,Delhi Capitals,11,"Wankhede Stadium, Mumbai"
K Rabada,Rajasthan Royals,9,"Wankhede Stadium, Mumbai"
Lalit Yadav,Rajasthan Royals,20,"Wankhede Stadium, Mumbai"
M Vohra,Delhi Capitals,9,"Wankhede Stadium, Mumbai"
MP Stoinis,Rajasthan Royals,0,"Wankhede Stadium, Mumbai"
PP Shaw,Rajasthan Royals,2,"Wankhede Stadium, Mumbai"
R Ashwin,Rajasthan Royals,7,"Wankhede Stadium, Mumbai"
R Parag,Delhi Capitals,2,"Wankhede Stadium, Mumbai"
R Tewatia,Delhi Capitals,19,"Wankhede Stadium, Mumbai"
RR Pant,Rajasthan Royals,51,"Wankhede Stadium, Mumbai"
S Dhawan,Rajasthan Royals,9,"Wankhede Stadium, Mumbai"
S Dube,Delhi Capitals,2,"Wankhede Stadium, Mumbai"
SV Samson,Delhi Capitals,4,"Wankhede Stadium, Mumbai"
TK Curran,Rajasthan Royals,21,"Wankhede Stadium, Mumbai"
AT Rayudu,Punjab Kings,0,"Wankhede Stadium, Mumbai"
CH Gayle,Chennai Super Kings,10,"Wankhede Stadium, Mumbai"
DJ Hooda,Chennai Super Kings,10,"Wankhede Stadium, Mumbai"
F du Plessis,Punjab Kings,36,"Wankhede Stadium, Mumbai"
JA Richardson,Chennai Super Kings,15,"Wankhede Stadium, Mumbai"
KL Rahul,Chennai Super Kings,5,"Wankhede Stadium, Mumbai"
M Ashwin,Chennai Super Kings,6,"Wankhede Stadium, Mumbai"
M Shahrukh Khan,Chennai Super Kings,47,"Wankhede Stadium, Mumbai"
MA Agarwal,Chennai Super Kings,0,"Wankhede Stadium, Mumbai"
MM Ali,Punjab Kings,46,"Wankhede Stadium, Mumbai"
Mohammed Shami,Chennai Super Kings,9,"Wankhede Stadium, Mumbai"
N Pooran,Chennai Super Kings,0,"Wankhede Stadium, Mumbai"
RD Gaikwad,Punjab Kings,5,"Wankhede Stadium, Mumbai"
SK Raina,Punjab Kings,8,"Wankhede Stadium, Mumbai"
SM Curran,Punjab Kings,5,"Wankhede Stadium, Mumbai"
Abdul Samad,Mumbai Indians,7,"MA Chidambaram Stadium, Chepauk, Chennai"
Abhishek Sharma,Mumbai Indians,2,"MA Chidambaram Stadium, Chepauk, Chennai"
B Kumar,Mumbai Indians,1,"MA Chidambaram Stadium, Chepauk, Chennai"
DA Warner,Mumbai Indians,36,"MA Chidambaram Stadium, Chepauk, Chennai"
HH Pandya,Sunrisers Hyderabad,7,"MA Chidambaram Stadium, Chepauk, Chennai"
Ishan Kishan,Sunrisers Hyderabad,12,"MA Chidambaram Stadium, Chepauk, Chennai"
JM Bairstow,Mumbai Indians,43,"MA Chidambaram Stadium, Chepauk, Chennai"
KA Pollard,Sunrisers Hyderabad,35,"MA Chidambaram Stadium, Chepauk, Chennai"
KH Pandya,Sunrisers Hyderabad,3,"MA Chidambaram Stadium, Chepauk, Chennai"
KK Ahmed,Mumbai Indians,1,"MA Chidambaram Stadium, Chepauk, Chennai"
MK Pandey,Mumbai Indians,2,"MA Chidambaram Stadium, Chepauk, Chennai"
Mujeeb Ur Rahman,Mumbai Indians,1,"MA Chidambaram Stadium, Chepauk, Chennai"
Q de Kock,Sunrisers Hyderabad,40,"MA Chidambaram Stadium, Chepauk, Chennai"
RG Sharma,Sunrisers Hyderabad,32,"MA Chidambaram Stadium, Chepauk, Chennai"
Rashid Khan,Mumbai Indians,0,"MA Chidambaram Stadium, Chepauk, Chennai"
SA Yadav,Sunrisers Hyderabad,10,"MA Chidambaram Stadium, Chepauk, Chennai"
V Shankar,Mumbai Indians,28,"MA Chidambaram Stadium, Chepauk, Chennai"
Virat Singh,Mumbai Indians,11,"MA Chidambaram Stadium, Chepauk, Chennai"
AB de Villiers,Kolkata Knight Riders,76,"MA Chidambaram Stadium, Chepauk, Chennai"
AD Russell,Royal Challengers Bangalore,31,"MA Chidambaram Stadium, Chepauk, Chennai"
CV Varun,Royal Challengers Bangalore,2,"MA Chidambaram Stadium, Chepauk, Chennai"
D Padikkal,Kolkata Knight Riders,25,"MA Chidambaram Stadium, Chepauk, Chennai"
EJG Morgan,Royal Challengers Bangalore,29,"MA Chidambaram Stadium, Chepauk, Chennai"
GJ Maxwell,Kolkata Knight Riders,78,"MA Chidambaram Stadium, Chepauk, Chennai"
Harbhajan Singh,Royal Challengers Bangalore,2,"MA Chidambaram Stadium, Chepauk, Chennai"
KA Jamieson,Kolkata Knight Riders,11,"MA Chidambaram Stadium, Chepauk, Chennai"
KD Karthik,Royal Challengers Bangalore,2,"MA Chidambaram Stadium, Chepauk, Chennai"
N Rana,Royal Challengers Bangalore,18,"MA Chidambaram Stadium, Chepauk, Chennai"
PJ Cummins,Royal Challengers Bangalore,6,"MA Chidambaram Stadium, Chepauk, Chennai"
RA Tripathi,Royal Challengers Bangalore,25,"MA Chidambaram Stadium, Chepauk, Chennai"
RM Patidar,Kolkata Knight Riders,1,"MA Chidambaram Stadium, Chepauk, Chennai"
Shakib Al Hasan,Royal Challengers Bangalore,26,"MA Chidambaram Stadium, Chepauk, Chennai"
Shubman Gill,Royal Challengers Bangalore,21,"MA Chidambaram Stadium, Chepauk, Chennai"
V Kohli,Kolkata Knight Riders,5,"MA Chidambaram Stadium, Chepauk, Chennai"
CH Gayle,Delhi Capitals,11,"Wankhede Stadium, Mumbai"
DJ Hooda,Delhi Capitals,22,"Wankhede Stadium, Mumbai"
KL Rahul,Delhi Capitals,61,"Wankhede Stadium, Mumbai"
Lalit Yadav,Punjab Kings,12,"Wankhede Stadium, Mumbai"
M Shahrukh Khan,Delhi Capitals,15,"Wankhede Stadium, Mumbai"
MA Agarwal,Delhi Capitals,69,"Wankhede Stadium, Mumbai"
MP Stoinis,Punjab Kings,27,"Wankhede Stadium, Mumbai"
N Pooran,Delhi Capitals,9,"Wankhede Stadium, Mumbai"
PP Shaw,Punjab Kings,32,"Wankhede Stadium, Mumbai"
RR Pant,Punjab Kings,15,"Wankhede Stadium, Mumbai"
S Dhawan,Punjab Kings,92,"Wankhede Stadium, Mumbai"
SPD Smith,Punjab Kings,9,"Wankhede Stadium, Mumbai"
AT Rayudu,Rajasthan Royals,27,"Wankhede Stadium, Mumbai"
CH Morris,Chennai Super Kings,0,"Wankhede Stadium, Mumbai"
DA Miller,Chennai Super Kings,2,"Wankhede Stadium, Mumbai"
DJ Bravo,Rajasthan Royals,20,"Wankhede Stadium, Mumbai"
F du Plessis,Rajasthan Royals,33,"Wankhede Stadium, Mumbai"
JC Buttler,Chennai Super Kings,49,"Wankhede Stadium, Mumbai"
JD Unadkat,Chennai Super Kings,24,"Wankhede Stadium, Mumbai"
M Vohra,Chennai Super Kings,14,"Wankhede Stadium, Mumbai"
MM Ali,Rajasthan Royals,26,"Wankhede Stadium, Mumbai"
MS Dhoni,Rajasthan Royals,18,"Wankhede Stadium, Mumbai"
Mustafizur Rahman,Chennai Super Kings,0,"Wankhede Stadium, Mumbai"
R Parag,Chennai Super Kings,3,"Wankhede Stadium, Mumbai"
R Tewatia,Chennai Super Kings,20,"Wankhede Stadium, Mumbai"
RA Jadeja,Rajasthan Royals,8,"Wankhede Stadium, Mumbai"
RD Gaikwad,Rajasthan Royals,10,"Wankhede Stadium, Mumbai"
S Dube,Chennai Super Kings,17,"Wankhede Stadium, Mumbai"
SK Raina,Rajasthan Royals,18,"Wankhede Stadium, Mumbai"
SM Curran,Rajasthan Royals,13,"Wankhede Stadium, Mumbai"
SN Thakur,Rajasthan Royals,1,"Wankhede Stadium, Mumbai"
SV Samson,Chennai Super Kings,1,"Wankhede Stadium, Mumbai"
HH Pandya,Delhi Capitals,0,"MA Chidambaram Stadium, Chepauk, Chennai"
Ishan Kishan,Delhi Capitals,26,"MA Chidambaram Stadium, Chepauk, Chennai"
J Yadav,Delhi Capitals,23,"MA Chidambaram Stadium, Chepauk, Chennai"
JJ Bumrah,Delhi Capitals,3,"MA Chidambaram Stadium, Chepauk, Chennai"
KA Pollard,Delhi Capitals,2,"MA Chidambaram Stadium, Chepauk, Chennai"
KH Pandya,Delhi Capitals,1,"MA Chidambaram Stadium, Chepauk, Chennai"
Lalit Yadav,Mumbai Indians,22,"MA Chidambaram Stadium, Chepauk, Chennai"
PP Shaw,Mumbai Indians,7,"MA Chidambaram Stadium, Chepauk, Chennai"
Q de Kock,Delhi Capitals,2,"MA Chidambaram Stadium, Chepauk, Chennai"
RD Chahar,Delhi Capitals,6,"MA Chidambaram Stadium, Chepauk, Chennai"
RG Sharma,Delhi Capitals,44,"MA Chidambaram Stadium, Chepauk, Chennai"
RR Pant,Mumbai Indians,7,"MA Chidambaram Stadium, Chepauk, Chennai"
S Dhawan,Mumbai Indians,45,"MA Chidambaram Stadium, Chepauk, Chennai"
SA Yadav,Delhi Capitals,24,"MA Chidambaram Stadium, Chepauk, Chennai"
SO Hetmyer,Mumbai Indians,14,"MA Chidambaram Stadium, Chepauk, Chennai"
SPD Smith,Mumbai Indians,33,"MA Chidambaram Stadium, Chepauk, Chennai"
TA Boult,Delhi Capitals,1,"MA Chidambaram Stadium, Chepauk, Chennai"
Arshdeep Singh,Sunrisers Hyderabad,1,"MA Chidambaram Stadium, Chepauk, Chennai"
CH Gayle,Sunrisers Hyderabad,15,"MA Chidambaram Stadium, Chepauk, Chennai"
DA Warner,Punjab Kings,37,"MA Chidambaram Stadium, Chepauk, Chennai"
DJ Hooda,Sunrisers Hyderabad,13,"MA Chidambaram Stadium, Chepauk, Chennai"
FA Allen,Sunrisers Hyderabad,6,"MA Chidambaram Stadium, Chepauk, Chennai"
JM Bairstow,Punjab Kings,63,"MA Chidambaram Stadium, Chepauk, Chennai"
KL Rahul,Sunrisers Hyderabad,4,"MA Chidambaram Stadium, Chepauk, Chennai"
KS Williamson,Punjab Kings,16,"MA Chidambaram Stadium, Chepauk, Chennai"
M Ashwin,Sunrisers Hyderabad,9,"MA Chidambaram Stadium, Chepauk, Chennai"
M Shahrukh Khan,Sunrisers Hyderabad,22,"MA Chidambaram Stadium, Chepauk, Chennai"
MA Agarwal,Sunrisers Hyderabad,22,"MA Chidambaram Stadium, Chepauk, Chennai"
MC Henriques,Sunrisers Hyderabad,14,"MA Chidambaram Stadium, Chepauk, Chennai"
Mohammed Shami,Sunrisers Hyderabad,3,"MA Chidambaram Stadium, Chepauk, Chennai"
AD Russell,Chennai Super Kings,54,"Wankhede Stadium, Mumbai"
CV Varun,Chennai Super Kings,0,"Wankhede Stadium, Mumbai"
EJG Morgan,Chennai Super Kings,7,"Wankhede Stadium, Mumbai"
F du Plessis,Kolkata Knight Riders,95,"Wankhede Stadium, Mumbai"
KD Karthik,Chennai Super Kings,40,"Wankhede Stadium, Mumbai"
KL Nagarkoti,Chennai Super Kings,0,"Wankhede Stadium, Mumbai"
M Prasidh Krishna,Chennai Super Kings,0,"Wankhede Stadium, Mumbai"
MM Ali,Kolkata Knight Riders,25,"Wankhede Stadium, Mumbai"
MS Dhoni,Kolkata Knight Riders,17,"Wankhede Stadium, Mumbai"
N Rana,Chennai Super Kings,9,"Wankhede Stadium, Mumbai"
PJ Cummins,Chennai Super Kings,66,"Wankhede Stadium, Mumbai"
RA Jadeja,Kolkata Knight Riders,6,"Wankhede Stadium, Mumbai"
